,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Destroyer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Underlord,Terrorblade,Phoenix,Oracle,Winter Wyvern,Arc Warden,Monkey King,Dark Willow,Pangolier,Grimstroke,Hoodwink,Void Spirit,Snapfire,Mars,Dawnbreaker,Marci,Primal Beast
Kunkka,-0.09,0.04,-0.02,0.0,0.0,0.09,-0.08,-0.06,-0.02,-0.01,-0.0,-0.02,-0.06,-0.07,0.05,-0.03,0.06,0.13,0.03,0.09,0.0,-0.02,0.0,-0.07,-0.05,0.06,-0.1,-0.03,0.02,0.05,0.04,0.02,0.16,0.08,0.01,0.02,0.04,0.05,-0.1,-0.0,-0.03,-0.06,0.02,0.01,0.03,0.06,-0.05,-0.04,0.1,0.02,0.05,0.09,-0.05,0.04,-0.13,0.05,0.03,-0.03,0.06,0.08,0.13,-0.03,-0.05,-0.05,0.01,0.17,-0.01,-0.01,-0.03,-0.04,-0.05,0.15,-0.09,0.07,0.05,0.07,0.05,-0.04,0.08,-0.04,-0.3,0.03,0.0,0.05,0.0,0.03,0.09,-0.07,-0.0,0.06,0.01,-0.08,-0.0,0.0,0.0,-0.06,0.01,0.08,-0.02,0.06,0.05,0.17,0.01,-0.02,-0.03,-0.06,-0.04,-0.03,-0.13,-0.21,-0.03,-0.01,0.04,0.04,0.04,-0.02,-0.07,0.01,0.02,-0.0,-0.04,-0.01,-0.01
Lina,0.03,-0.05,-0.02,0.02,0.05,-0.04,0.0,0.04,0.01,0.05,-0.04,0.06,-0.01,0.04,-0.02,-0.06,0.0,-0.02,0.01,-0.03,-0.03,-0.03,0.07,0.0,-0.04,-0.08,0.0,-0.07,0.0,-0.08,0.04,0.02,-0.07,0.06,0.02,-0.05,-0.01,0.03,-0.05,-0.02,0.0,0.04,-0.08,0.02,-0.03,0.01,0.03,0.0,-0.03,0.03,-0.02,0.0,0.03,-0.03,-0.07,0.01,0.01,0.07,0.02,0.0,0.03,0.0,0.01,0.02,0.01,-0.04,0.05,0.0,-0.03,0.05,-0.01,0.03,-0.05,0.07,0.05,0.08,0.0,-0.03,-0.08,-0.04,-0.57,0.04,0.0,-0.05,-0.02,0.06,-0.02,0.02,0.04,0.02,-0.04,-0.07,-0.05,0.0,0.02,0.01,0.05,0.05,-0.02,-0.01,-0.04,-0.11,0.0,0.14,0.03,-0.02,0.05,0.03,-0.03,0.13,-0.05,0.02,0.02,0.04,0.05,0.01,0.01,-0.03,-0.02,-0.02,0.05,-0.04,-0.01
Lion,0.04,-0.06,-0.01,0.0,-0.04,-0.09,-0.08,-0.04,0.02,0.04,0.02,-0.03,0.03,-0.05,-0.04,-0.02,-0.01,-0.02,-0.01,-0.08,-0.07,-0.01,0.05,0.04,0.0,-0.03,-0.01,0.06,-0.04,-0.05,-0.04,0.04,0.01,-0.09,0.12,-0.03,-0.0,0.05,0.07,0.07,0.08,0.02,0.01,0.07,0.06,-0.0,0.07,-0.03,-0.06,-0.06,0.14,-0.1,0.05,-0.02,-0.15,-0.1,0.0,0.09,-0.1,0.03,-0.06,0.02,-0.02,0.11,-0.01,-0.0,0.01,-0.06,-0.12,0.04,-0.01,-0.05,-0.03,-0.14,-0.09,0.02,-0.06,0.1,0.08,-0.07,-0.03,-0.02,0.05,0.1,-0.09,0.07,0.07,0.12,-0.03,0.05,-0.04,0.04,-0.0,-0.12,0.07,-0.04,-0.06,-0.16,0.07,0.03,-0.07,0.07,0.05,-0.07,-0.04,0.08,-0.03,0.04,-0.11,-0.18,0.08,-0.14,-0.06,0.14,0.02,-0.05,-0.01,-0.06,0.07,-0.04,-0.05,-0.03,-0.05
Shadow Shaman,0.07,0.07,0.02,-0.02,-0.02,-0.11,-0.11,-0.02,0.0,-0.02,-0.03,-0.15,0.01,-0.01,0.01,-0.05,0.04,0.06,0.03,-0.05,-0.01,0.04,-0.06,0.08,0.03,0.0,0.08,0.09,-0.08,0.05,0.11,-0.11,-0.17,-0.06,0.02,0.08,-0.05,-0.04,0.18,0.02,-0.05,0.0,0.06,-0.05,-0.01,0.03,0.1,0.01,-0.05,-0.06,-0.02,-0.05,0.04,-0.07,-0.23,0.05,-0.03,0.1,0.09,0.11,0.08,0.08,0.03,-0.03,0.09,-0.18,0.1,0.0,0.02,0.02,0.06,-0.07,-0.1,-0.04,0.12,0.0,0.01,-0.03,-0.05,0.02,-0.19,0.04,0.04,-0.01,0.01,-0.05,0.03,0.04,0.04,-0.04,0.0,-0.05,0.05,0.05,-0.05,-0.04,0.04,0.04,-0.02,-0.04,0.05,0.15,0.0,0.12,-0.03,0.08,-0.02,0.05,0.06,0.07,0.01,0.06,-0.02,-0.11,0.03,0.01,0.02,-0.03,-0.04,0.0,-0.04,0.04,-0.05
Slardar,0.08,-0.09,0.03,0.05,-0.07,-0.06,0.22,-0.11,0.02,0.03,-0.08,0.06,0.07,-0.06,-0.07,0.04,-0.07,-0.12,-0.02,0.1,-0.1,-0.07,0.1,-0.0,0.01,-0.08,0.0,0.16,-0.07,-0.07,-0.0,-0.07,0.13,0.1,0.04,-0.15,-0.03,0.07,-0.12,0.02,0.12,-0.08,0.09,0.1,0.03,-0.0,-0.1,-0.01,0.03,0.01,0.14,-0.11,0.03,0.06,0.03,0.29,0.07,0.17,-0.03,-0.03,0.05,0.03,0.04,-0.12,-0.12,-0.16,0.05,0.03,-0.03,-0.18,0.0,0.08,-0.1,0.03,0.0,-0.17,-0.17,0.14,0.13,0.07,0.45,-0.13,0.0,0.05,-0.05,-0.02,0.1,-0.0,0.04,-0.0,-0.04,0.02,-0.02,-0.1,0.04,-0.13,-0.03,0.16,-0.03,0.07,-0.1,-0.39,-0.03,0.06,0.04,0.08,0.14,-0.02,0.05,-0.09,0.11,-0.4,-0.07,-0.08,-0.07,-0.08,0.08,-0.09,-0.02,0.01,0.05,0.01,-0.02
Tidehunter,0.02,0.05,-0.03,-0.11,-0.01,0.06,0.08,-0.02,-0.0,0.0,-0.0,-0.07,-0.01,0.06,0.01,-0.12,-0.05,-0.07,-0.03,0.01,-0.09,0.06,0.03,0.07,-0.06,-0.09,-0.16,0.0,0.04,0.11,0.1,0.13,-0.07,-0.04,-0.26,-0.02,0.06,0.07,-0.0,0.04,0.02,-0.01,-0.05,-0.06,-0.01,0.06,0.01,-0.06,0.05,-0.04,-0.0,-0.01,0.02,0.1,-0.11,-0.03,-0.04,-0.03,-0.02,0.13,-0.15,0.05,0.01,0.02,-0.1,0.12,-0.18,-0.05,0.03,0.02,0.1,-0.13,-0.04,0.01,-0.03,-0.13,0.05,-0.05,0.07,0.01,0.47,0.03,0.0,-0.08,0.06,0.03,-0.0,-0.0,0.03,-0.03,0.07,-0.06,-0.09,0.02,0.12,-0.19,-0.08,0.0,0.04,0.0,0.05,-0.01,-0.01,0.07,0.02,0.04,-0.09,0.0,0.0,-0.05,-0.28,-0.02,0.04,-0.01,-0.0,-0.06,-0.03,0.0,0.02,-0.02,0.06,-0.07,0.04
Witch Doctor,-0.08,0.11,-0.04,0.11,0.0,0.13,-0.12,-0.05,-0.05,0.04,-0.0,-0.26,-0.18,-0.02,-0.04,0.08,0.01,0.16,0.02,0.09,-0.02,-0.01,-0.02,-0.0,0.04,0.08,0.07,-0.04,0.0,0.06,0.03,0.31,-0.06,0.01,-0.03,0.07,-0.16,0.04,-0.06,0.05,0.15,-0.06,-0.02,0.04,0.1,-0.09,-0.07,-0.01,0.16,0.1,-0.0,0.03,0.02,0.07,-0.03,-0.03,0.1,-0.2,0.06,-0.12,0.2,-0.04,0.05,-0.1,0.03,-0.22,0.05,-0.04,-0.14,0.08,0.06,-0.22,0.03,-0.07,-0.07,0.01,0.51,-0.22,0.22,0.07,0.13,-0.05,0.0,-0.04,0.04,-0.03,0.05,0.05,0.01,-0.01,-0.02,0.03,-0.0,-0.14,-0.09,0.03,0.02,-0.16,-0.04,-0.05,0.01,0.07,0.03,0.12,0.1,-0.12,0.11,0.13,0.02,0.16,-0.1,0.09,0.05,-0.1,0.05,-0.01,0.02,-0.13,-0.04,-0.08,-0.07,-0.03,0.07
Lich,0.05,0.04,0.04,-0.04,0.01,0.02,0.0,0.07,-0.01,0.04,-0.02,-0.01,-0.08,-0.01,-0.07,-0.06,-0.01,0.02,0.03,0.02,0.07,0.02,-0.05,0.08,0.05,-0.05,0.07,-0.11,-0.06,0.0,-0.05,-0.04,0.02,-0.02,-0.07,-0.2,-0.0,-0.07,0.06,0.08,0.03,-0.01,-0.01,-0.13,-0.0,0.04,-0.01,-0.01,0.02,-0.03,0.08,-0.08,0.02,0.11,0.11,-0.06,-0.2,0.12,-0.09,0.06,-0.09,0.0,0.0,-0.07,0.01,-0.03,-0.04,-0.03,-0.03,-0.05,0.02,-0.01,0.04,0.02,0.04,-0.08,0.03,0.09,0.15,0.01,-0.27,0.09,0.11,-0.05,0.03,-0.01,-0.03,-0.06,-0.06,-0.06,-0.13,-0.08,0.02,-0.11,0.04,0.15,-0.05,0.06,0.04,0.05,-0.02,0.15,0.06,-0.07,-0.08,-0.01,-0.1,0.0,0.1,-0.02,0.06,-0.09,-0.02,0.05,0.08,0.02,-0.03,-0.07,-0.07,0.02,0.02,0.04,0.06
Riki,-0.03,-0.04,-0.02,-0.09,0.03,-0.03,-0.03,0.12,0.08,0.04,-0.03,0.14,0.06,0.02,-0.09,-0.04,0.01,-0.13,0.02,0.1,0.03,0.01,-0.04,-0.04,0.04,-0.11,0.0,-0.1,-0.03,0.05,0.0,0.06,0.07,0.05,-0.09,0.02,-0.07,-0.13,-0.1,0.04,-0.09,-0.03,-0.04,-0.19,0.02,0.12,-0.06,-0.1,-0.1,0.04,-0.04,0.04,0.1,-0.05,-0.09,0.23,-0.11,0.1,-0.13,0.11,-0.01,-0.09,-0.12,0.01,0.32,0.04,0.04,-0.07,0.05,0.04,0.04,-0.17,0.02,-0.07,-0.03,-0.04,-0.02,0.04,-0.14,0.15,-0.1,-0.01,0.04,-0.05,-0.01,0.06,0.09,0.03,0.08,-0.05,-0.01,0.04,0.02,0.26,0.09,0.07,0.01,0.05,0.04,0.05,-0.14,0.16,0.1,0.09,0.07,-0.16,0.16,0.01,0.09,-0.05,0.01,-0.02,0.03,0.05,0.05,-0.03,0.0,-0.04,0.01,-0.03,-0.08,0.04,0.01
Enigma,0.16,0.01,0.13,0.05,-0.08,-0.13,0.07,0.08,0.0,-0.04,-0.07,-0.19,0.01,0.04,0.09,-0.14,0.06,0.04,0.02,-0.04,-0.12,0.02,-0.02,-0.02,-0.04,0.11,0.07,-0.13,-0.31,0.04,-0.06,0.0,0.13,0.0,0.12,0.01,0.04,0.04,0.12,-0.04,0.04,0.11,-0.05,0.01,0.01,0.06,-0.06,0.06,-0.01,0.03,-0.07,-0.03,0.11,-0.0,0.09,0.01,0.09,-0.01,0.04,0.06,0.11,0.09,-0.05,-0.07,-0.03,0.06,-0.08,-0.04,0.03,0.05,-0.07,-0.1,0.04,0.01,0.01,-0.01,0.02,0.13,0.15,0.04,0.07,0.07,-0.01,-0.04,0.01,-0.12,-0.05,-0.03,0.07,-0.05,0.0,0.02,0.08,0.03,0.02,0.02,-0.06,0.0,0.01,-0.03,0.02,-0.28,0.0,-0.17,0.01,0.13,0.11,0.06,-0.02,0.21,0.0,-0.03,0.01,-0.14,-0.02,-0.05,-0.05,0.01,0.01,-0.02,-0.02,0.03,0.01
Tinker,-0.03,0.05,0.06,0.12,0.11,0.08,-0.27,0.0,0.02,-0.06,-0.08,0.05,-0.04,0.02,0.11,0.12,0.13,0.18,0.04,-0.08,-0.04,0.0,-0.16,0.07,-0.01,0.17,-0.13,0.07,0.06,-0.02,-0.07,-0.13,0.0,0.26,-0.29,0.2,-0.18,-0.01,0.31,0.1,-0.05,0.05,0.1,-0.03,-0.06,-0.1,-0.24,0.02,0.24,-0.17,0.02,-0.03,-0.18,0.14,0.09,0.11,0.04,-0.06,0.05,-0.2,0.13,-0.02,-0.06,-0.1,0.05,0.18,-0.08,-0.01,-0.08,-0.07,-0.16,-0.09,-0.02,0.3,0.03,0.2,-0.24,0.03,0.15,-0.09,0.46,0.04,0.0,-0.04,-0.04,0.01,0.07,-0.04,0.04,-0.11,-0.14,0.03,0.24,0.01,-0.08,0.03,0.01,0.3,-0.04,0.05,-0.07,0.18,0.09,-0.3,0.06,-0.14,0.0,0.01,-0.1,0.04,0.01,0.27,-0.16,0.29,-0.1,-0.02,0.01,0.14,0.05,-0.01,0.07,-0.09,-0.16
Sniper,-0.02,0.16,0.01,0.11,-0.05,0.04,0.06,0.01,-0.05,-0.05,0.07,-0.09,-0.01,-0.08,-0.06,0.13,-0.0,0.08,-0.01,0.03,-0.03,0.03,-0.08,-0.06,0.09,0.06,-0.1,0.04,-0.01,0.02,-0.05,-0.0,-0.26,0.0,-0.11,0.1,-0.01,0.06,-0.01,-0.0,0.0,0.08,-0.05,0.02,0.04,-0.01,0.05,-0.01,0.04,-0.01,0.08,-0.04,-0.06,-0.02,0.15,-0.04,-0.04,0.04,-0.08,0.14,0.1,-0.02,-0.01,0.02,0.1,0.03,0.04,-0.05,-0.04,-0.02,0.11,-0.11,-0.07,0.03,0.02,-0.1,-0.02,-0.05,0.09,0.05,0.46,-0.0,0.07,-0.01,-0.01,-0.01,0.09,0.03,-0.04,0.02,-0.07,0.02,0.01,-0.06,-0.06,-0.01,0.08,-0.09,-0.03,0.01,-0.02,0.07,0.08,0.0,-0.01,-0.1,-0.09,-0.04,-0.04,-0.06,-0.07,0.05,-0.01,0.07,-0.01,0.06,0.04,0.03,-0.06,0.01,0.04,-0.06,0.02
Necrophos,0.0,-0.16,0.03,0.1,0.02,0.01,0.12,-0.01,0.03,0.0,0.02,0.06,-0.05,-0.1,-0.09,-0.02,0.02,-0.01,0.01,-0.06,-0.04,0.0,-0.01,-0.02,-0.12,-0.02,-0.04,0.26,0.03,0.07,0.09,-0.12,0.29,0.11,0.0,-0.01,0.01,-0.08,0.19,0.12,0.04,-0.05,-0.01,-0.02,-0.02,0.01,0.04,0.0,-0.13,-0.08,-0.0,-0.07,-0.06,-0.1,0.07,0.11,0.03,0.11,0.07,-0.21,-0.22,-0.05,-0.02,-0.06,0.14,-0.03,-0.09,0.01,0.0,0.25,-0.11,0.08,0.0,0.08,-0.03,0.04,-0.12,-0.05,-0.07,0.11,0.46,-0.06,-0.01,-0.03,0.0,0.03,0.11,0.11,0.07,-0.02,-0.1,-0.03,0.09,-0.06,0.08,-0.11,0.03,0.01,0.01,-0.05,-0.08,0.18,0.09,0.11,0.03,0.01,-0.02,-0.08,0.14,0.02,0.05,0.29,-0.1,0.08,0.02,0.01,0.0,0.03,-0.0,-0.02,-0.02,-0.04,-0.1
Warlock,-0.07,-0.15,0.04,-0.01,-0.03,-0.05,-0.11,0.08,0.07,-0.03,-0.03,-0.18,0.0,0.0,0.01,0.08,-0.04,-0.11,0.03,0.1,-0.14,-0.01,-0.02,0.05,0.03,-0.08,0.15,0.02,-0.07,0.2,-0.02,-0.01,-0.2,-0.1,0.01,0.0,-0.05,-0.08,0.11,0.11,-0.07,-0.06,-0.01,0.07,-0.04,0.03,0.14,0.04,-0.08,0.02,0.13,-0.1,-0.02,-0.05,0.44,-0.19,0.1,-0.12,-0.04,0.12,0.17,0.13,-0.03,-0.09,-0.16,-0.06,0.27,-0.15,0.0,0.06,0.17,-0.11,-0.07,0.05,-0.02,0.05,0.04,0.0,0.19,0.11,-0.07,0.02,-0.04,0.12,0.1,-0.25,-0.17,0.41,0.02,0.04,0.03,0.05,0.24,0.02,0.02,0.06,-0.05,-0.05,-0.02,0.01,0.08,0.28,0.33,0.2,0.06,-0.1,-0.13,-0.13,-0.03,-0.06,0.04,-0.36,-0.05,0.01,-0.01,0.04,-0.04,-0.09,0.06,-0.05,0.02,0.01,0.19
Beastmaster,0.1,0.01,0.08,0.03,-0.05,-0.03,-0.01,0.01,0.03,-0.04,-0.02,-0.04,-0.02,-0.02,-0.01,0.1,0.05,0.08,0.0,-0.0,0.06,0.03,-0.04,0.01,0.0,0.05,0.03,-0.06,0.16,0.0,0.07,-0.04,0.18,0.01,-0.01,0.05,0.0,0.03,0.02,0.12,0.07,0.02,0.03,0.04,0.07,0.02,-0.01,0.07,0.05,-0.02,0.04,-0.08,-0.05,-0.12,0.07,0.1,-0.03,0.02,0.02,0.03,-0.0,0.04,0.0,-0.03,-0.04,0.07,0.02,-0.07,0.0,0.01,-0.03,-0.0,-0.01,-0.06,0.02,0.04,-0.03,0.08,0.1,0.03,0.18,-0.03,0.07,-0.0,0.02,-0.06,0.03,-0.0,-0.0,0.01,-0.0,-0.03,-0.08,-0.09,0.01,0.0,-0.04,-0.04,0.02,0.05,0.01,0.03,-0.06,0.02,0.03,-0.08,-0.12,0.01,-0.05,-0.01,-0.01,0.21,-0.04,0.12,0.01,0.06,0.02,-0.01,-0.03,0.02,0.01,0.02,-0.09
Queen of Pain,-0.04,-0.09,-0.02,0.01,-0.04,-0.03,-0.16,0.04,0.01,0.02,-0.03,0.08,0.04,0.01,0.05,0.0,0.04,0.02,-0.02,0.03,0.08,0.08,-0.05,-0.03,-0.05,0.04,-0.07,-0.07,-0.04,0.07,0.13,-0.04,0.01,-0.06,0.08,0.08,-0.03,0.0,0.05,0.03,0.0,-0.01,-0.05,0.05,-0.0,-0.05,0.03,0.04,-0.08,-0.04,-0.0,-0.04,0.02,0.01,-0.14,-0.07,-0.11,0.01,0.02,-0.0,-0.07,-0.01,-0.01,0.0,0.04,0.01,-0.0,0.0,0.02,-0.07,0.02,0.09,-0.02,0.03,-0.01,0.08,-0.05,-0.04,-0.12,-0.03,-0.3,0.06,-0.07,0.02,0.03,0.02,0.01,0.05,-0.02,0.03,-0.04,0.01,-0.0,-0.12,0.07,-0.02,0.07,0.0,-0.01,0.01,0.02,-0.12,-0.0,-0.0,-0.01,0.01,0.04,0.07,0.04,0.02,0.03,0.02,0.06,0.0,-0.02,-0.02,-0.01,-0.04,0.03,0.02,-0.02,-0.0,0.03
Venomancer,-0.24,-0.12,0.02,0.03,-0.09,-0.01,-0.05,0.03,0.1,-0.06,-0.05,0.1,-0.07,-0.04,-0.03,0.19,-0.06,0.12,0.04,0.14,0.07,0.11,0.1,0.05,-0.07,-0.18,0.12,0.0,0.06,-0.06,0.1,-0.12,-0.31,0.01,-0.19,-0.11,-0.02,-0.05,0.0,0.06,0.03,0.08,0.1,0.03,-0.0,-0.0,0.11,-0.01,-0.05,-0.09,-0.12,-0.23,-0.03,-0.02,-0.19,0.1,-0.05,0.12,-0.07,0.04,0.03,-0.08,0.05,0.01,-0.19,0.19,0.07,0.07,-0.02,-0.11,0.06,0.14,0.01,-0.07,-0.08,0.16,-0.12,-0.17,0.04,-0.18,0.4,0.01,0.05,-0.04,0.01,0.02,-0.02,0.02,0.05,-0.13,0.06,-0.12,0.08,0.16,0.09,0.23,-0.03,0.11,0.04,0.03,-0.07,0.02,0.15,0.23,0.01,-0.04,-0.13,-0.05,0.1,0.07,0.01,-0.09,0.02,0.1,0.03,0.06,0.02,-0.09,-0.05,-0.08,0.01,-0.12,-0.04
Faceless Void,-0.08,0.1,-0.07,0.06,-0.01,0.02,-0.05,0.05,-0.04,-0.01,-0.02,0.01,0.0,-0.07,0.0,0.01,-0.05,-0.13,0.01,0.14,0.04,0.06,0.0,0.02,-0.07,-0.02,-0.02,-0.04,-0.05,-0.08,-0.04,0.04,-0.1,0.0,-0.12,-0.11,-0.12,-0.03,-0.06,0.0,-0.02,0.02,0.02,-0.07,-0.04,-0.1,-0.08,0.03,0.0,0.03,-0.08,0.0,0.0,0.05,0.01,-0.01,0.04,-0.02,-0.09,-0.04,0.07,0.0,-0.09,0.09,-0.09,0.03,0.23,-0.04,0.0,-0.01,0.0,-0.1,0.04,-0.05,-0.06,-0.03,0.05,0.03,0.04,-0.06,0.43,0.01,-0.02,0.01,0.0,-0.03,0.01,-0.15,0.04,-0.02,0.03,0.05,0.01,0.03,0.05,-0.04,0.02,-0.05,0.05,0.06,0.05,-0.16,0.0,-0.08,-0.07,-0.05,0.08,0.02,0.12,0.13,0.02,-0.08,0.03,-0.06,-0.02,-0.04,-0.03,0.06,-0.04,-0.02,0.03,0.03,0.08
Wraith King,0.02,-0.02,-0.05,0.0,0.04,-0.0,-0.01,-0.05,-0.02,0.08,-0.04,-0.03,0.01,-0.01,0.0,-0.01,-0.02,0.18,-0.01,-0.05,0.01,0.03,0.03,-0.0,-0.08,0.05,-0.12,-0.02,-0.15,-0.03,0.09,-0.04,0.05,-0.0,-0.04,0.07,-0.07,0.0,-0.03,0.02,0.0,-0.01,-0.03,0.08,-0.01,0.05,0.06,-0.11,0.02,-0.02,-0.0,0.07,0.03,0.1,-0.02,0.04,0.03,0.13,-0.02,-0.04,-0.08,0.05,-0.01,-0.12,-0.13,0.01,0.03,-0.01,-0.01,0.12,0.09,-0.06,-0.08,-0.02,0.02,-0.07,0.11,0.01,-0.01,-0.1,-0.22,0.04,-0.01,-0.09,0.0,0.07,0.01,0.04,-0.0,-0.05,-0.0,0.11,-0.02,-0.07,0.18,-0.01,-0.01,-0.1,-0.07,-0.02,0.0,0.14,-0.03,0.13,0.01,0.05,-0.1,-0.09,-0.03,0.06,0.05,0.04,0.03,0.01,-0.02,0.03,-0.01,-0.01,-0.03,-0.0,-0.05,-0.05,0.08
Death Prophet,-0.07,0.06,0.0,-0.01,0.03,0.05,-0.07,0.01,-0.01,-0.01,-0.05,0.03,0.06,-0.03,0.01,-0.02,0.0,0.0,0.01,0.0,0.01,-0.01,0.06,-0.04,-0.02,0.0,0.08,0.01,0.06,0.01,0.03,-0.11,-0.05,-0.08,0.05,0.06,-0.02,0.01,-0.08,-0.02,0.01,0.0,0.04,0.0,0.03,-0.01,-0.05,0.06,0.05,0.0,0.0,0.02,0.03,-0.02,-0.09,0.01,-0.01,-0.02,-0.04,-0.03,-0.01,0.04,0.03,-0.01,-0.09,-0.01,-0.07,0.05,0.07,0.02,0.02,0.09,-0.02,0.01,0.06,0.0,0.01,0.01,-0.04,-0.01,0.05,-0.02,0.05,-0.03,0.0,-0.01,-0.04,-0.04,0.02,0.0,-0.05,0.03,-0.02,0.03,0.03,0.06,0.07,0.08,0.01,0.0,0.08,-0.02,-0.01,0.01,0.03,0.08,0.06,0.0,0.02,0.09,0.0,0.03,0.03,0.0,-0.04,0.05,0.03,0.06,-0.01,0.0,0.03,0.01,0.03
Phantom Assassin,-0.02,0.0,-0.02,-0.01,0.0,0.01,0.06,-0.03,0.01,-0.03,-0.01,0.2,-0.02,-0.08,0.06,-0.03,-0.04,-0.05,0.01,-0.09,0.03,-0.11,-0.02,0.08,-0.01,-0.06,-0.09,0.05,0.02,0.01,0.04,0.05,-0.1,0.05,0.01,0.01,-0.03,0.05,-0.1,-0.02,0.03,-0.04,0.0,0.06,0.01,0.07,-0.04,-0.07,-0.03,-0.0,-0.08,-0.02,-0.04,-0.13,-0.02,-0.0,0.05,0.07,0.03,0.12,0.07,-0.03,0.01,-0.01,-0.06,-0.13,0.23,-0.01,-0.05,-0.01,-0.1,0.06,0.05,-0.12,-0.03,0.01,0.12,0.01,0.09,-0.04,0.0,0.12,-0.03,-0.02,0.02,0.04,-0.01,0.01,0.02,-0.04,0.02,-0.01,0.1,0.07,-0.01,0.14,-0.12,-0.01,-0.01,0.02,0.04,-0.09,-0.06,-0.14,0.02,-0.15,0.02,0.09,-0.03,-0.07,-0.08,-0.06,-0.01,0.07,-0.04,0.05,0.03,0.03,0.0,0.04,-0.04,-0.03,-0.07
Pugna,-0.03,0.08,-0.09,-0.07,0.09,0.07,0.04,0.0,-0.02,0.01,-0.01,0.06,-0.03,0.06,-0.06,0.02,0.01,0.14,0.06,-0.04,0.02,0.01,-0.01,-0.02,-0.07,0.05,-0.1,0.06,-0.04,0.13,0.19,-0.01,0.03,-0.02,0.02,-0.07,-0.04,-0.05,-0.03,0.07,-0.08,-0.0,-0.06,0.0,-0.06,-0.05,0.04,-0.09,-0.06,-0.01,0.08,-0.02,0.04,-0.0,0.13,0.02,0.01,-0.15,-0.01,0.15,0.07,-0.05,0.04,0.07,0.06,-0.04,-0.01,-0.01,0.03,-0.02,-0.05,-0.09,-0.08,-0.06,-0.01,0.09,-0.03,-0.07,0.06,-0.02,0.06,0.06,0.04,-0.0,0.04,-0.01,-0.15,-0.02,0.05,-0.1,-0.18,0.05,-0.02,-0.01,0.02,0.11,-0.07,0.04,0.03,-0.03,0.04,0.09,0.08,0.02,0.06,0.05,0.08,-0.14,-0.07,0.21,0.03,-0.04,0.01,0.07,-0.02,0.0,0.03,0.02,0.04,0.0,-0.05,-0.01,-0.14
Templar Assassin,0.03,-0.1,0.0,0.01,0.0,-0.12,0.07,0.06,0.02,-0.04,-0.03,-0.02,0.03,-0.03,0.03,0.04,0.02,-0.06,0.03,0.03,-0.06,0.02,-0.03,0.03,-0.06,0.01,-0.03,0.01,-0.1,0.0,-0.02,-0.01,0.06,-0.04,0.02,0.04,-0.07,0.0,0.0,0.04,0.01,-0.03,-0.01,0.06,0.0,0.03,-0.01,0.03,-0.09,-0.03,0.06,-0.01,0.07,-0.04,-0.08,0.03,-0.05,-0.16,0.11,0.02,0.06,-0.09,-0.02,-0.01,-0.08,0.01,0.04,0.08,0.06,-0.07,0.02,-0.05,0.01,0.01,-0.07,0.02,-0.02,-0.01,0.06,0.01,-0.14,-0.05,0.04,-0.03,0.0,-0.01,0.06,-0.12,0.07,0.03,-0.01,-0.04,-0.03,-0.07,-0.04,-0.03,-0.03,0.02,0.01,0.01,0.07,-0.25,0.03,0.09,0.04,0.01,0.06,-0.03,0.0,-0.01,0.04,-0.08,0.02,0.04,0.03,0.05,-0.02,0.0,0.05,-0.03,-0.03,-0.04,-0.04
